Date;Year;Month;Day;Hour;Central;Unidad;Componente;Generacion_MWh;Tecnologia;Clasificacion;Codigo Central;Subsistema
01/02/2014;2014;2;1;1;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;2;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;3;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;4;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;5;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;6;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;7;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;8;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;9;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;10;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;11;Los Molles;;;0;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;12;Los Molles;;;3;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;13;Los Molles;;;3;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;14;Los Molles;;;3;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;15;Los Molles;;;3;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;16;Los Molles;;;3;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
01/02/2014;2014;2;1;17;Los Molles;;;3;Mini Hidráulica de Pasada;ERNC;Los Molles;SIC
