Codigo Central,timestamp,Generacion_MWh
Canela,2014-01-01 00:00:00,4.3
Canela,2014-01-01 01:00:00,2.3
Canela,2014-01-01 02:00:00,2.4
Canela,2014-01-01 03:00:00,1.6
Canela,2014-01-01 04:00:00,1.5
Canela,2014-01-01 05:00:00,0.7
Canela,2014-01-01 06:00:00,0.6
Canela,2014-01-01 07:00:00,0.4
Canela,2014-01-01 08:00:00,1.1
Canela,2014-01-01 09:00:00,2.6
Canela,2014-01-01 10:00:00,3.0
Canela,2014-01-01 11:00:00,2.5
Canela,2014-01-01 12:00:00,2.4
Canela,2014-01-01 13:00:00,2.1
Canela,2014-01-01 14:00:00,1.9
Canela,2014-01-01 15:00:00,4.5
Canela,2014-01-01 16:00:00,5.2
Canela,2014-01-01 17:00:00,5.7
Canela,2014-01-01 18:00:00,5.6
Canela,2014-01-01 19:00:00,4.3
Canela,2014-01-01 20:00:00,5.0
Canela,2014-01-01 21:00:00,5.2
Canela,2014-01-01 22:00:00,4.5
Canela,2014-01-01 23:00:00,5.2
Canela 2,2014-01-01 00:00:00,51.4
Canela 2,2014-01-01 01:00:00,30.3
Canela 2,2014-01-01 02:00:00,31.1
Canela 2,2014-01-01 03:00:00,27.6
Canela 2,2014-01-01 04:00:00,27.3
Canela 2,2014-01-01 05:00:00,15.6
Canela 2,2014-01-01 06:00:00,10.3
Canela 2,2014-01-01 07:00:00,13.2
Canela 2,2014-01-01 08:00:00,13.5
Canela 2,2014-01-01 09:00:00,31.9
Canela 2,2014-01-01 10:00:00,33.6
Canela 2,2014-01-01 11:00:00,22.0
Canela 2,2014-01-01 12:00:00,19.0
Canela 2,2014-01-01 13:00:00,12.5
Canela 2,2014-01-01 14:00:00,20.0
Canela 2,2014-01-01 15:00:00,36.2
Canela 2,2014-01-01 16:00:00,45.1
Canela 2,2014-01-01 17:00:00,50.3
Canela 2,2014-01-01 18:00:00,50.6
Canela 2,2014-01-01 19:00:00,46.2
Canela 2,2014-01-01 20:00:00,45.2
Canela 2,2014-01-01 21:00:00,46.1
Canela 2,2014-01-01 22:00:00,41.8
Canela 2,2014-01-01 23:00:00,46.8
Parque Eólico Lebu,2014-01-01 00:00:00,0.0
Parque Eólico Lebu,2014-01-01 01:00:00,0.0
Parque Eólico Lebu,2014-01-01 02:00:00,0.0
Parque Eólico Lebu,2014-01-01 03:00:00,0.0
Parque Eólico Lebu,2014-01-01 04:00:00,0.0
Parque Eólico Lebu,2014-01-01 05:00:00,0.0
Parque Eólico Lebu,2014-01-01 06:00:00,0.0
Parque Eólico Lebu,2014-01-01 07:00:00,0.0
Parque Eólico Lebu,2014-01-01 08:00:00,0.0
Parque Eólico Lebu,2014-01-01 09:00:00,0.0
Parque Eólico Lebu,2014-01-01 10:00:00,0.0
Parque Eólico Lebu,2014-01-01 11:00:00,0.0
Parque Eólico Lebu,2014-01-01 12:00:00,0.0
Parque Eólico Lebu,2014-01-01 13:00:00,0.0
Parque Eólico Lebu,2014-01-01 14:00:00,0.0
Parque Eólico Lebu,2014-01-01 15:00:00,0.0
Parque Eólico Lebu,2014-01-01 16:00:00,0.3
Parque Eólico Lebu,2014-01-01 17:00:00,0.4
Parque Eólico Lebu,2014-01-01 18:00:00,0.3
Parque Eólico Lebu,2014-01-01 19:00:00,0.5
Parque Eólico Lebu,2014-01-01 20:00:00,0.3
Parque Eólico Lebu,2014-01-01 21:00:00,0.6
Parque Eólico Lebu,2014-01-01 22:00:00,0.2
Parque Eólico Lebu,2014-01-01 23:00:00,0.2
Eólica Totoral,2014-01-01 00:00:00,41.2
Eólica Totoral,2014-01-01 01:00:00,30.1
Eólica Totoral,2014-01-01 02:00:00,25.5
Eólica Totoral,2014-01-01 03:00:00,26.8
Eólica Totoral,2014-01-01 04:00:00,19.4
Eólica Totoral,2014-01-01 05:00:00,9.9
Eólica Totoral,2014-01-01 06:00:00,6.0
Eólica Totoral,2014-01-01 07:00:00,5.4
Eólica Totoral,2014-01-01 08:00:00,8.8
Eólica Totoral,2014-01-01 09:00:00,18.0
Eólica Totoral,2014-01-01 10:00:00,15.2
Eólica Totoral,2014-01-01 11:00:00,5.6
Eólica Totoral,2014-01-01 12:00:00,8.7
Eólica Totoral,2014-01-01 13:00:00,9.0
Eólica Totoral,2014-01-01 14:00:00,10.2
Eólica Totoral,2014-01-01 15:00:00,18.8
Eólica Totoral,2014-01-01 16:00:00,31.1
Eólica Totoral,2014-01-01 17:00:00,35.3
Eólica Totoral,2014-01-01 18:00:00,34.9
Eólica Totoral,2014-01-01 19:00:00,37.6
Eólica Totoral,2014-01-01 20:00:00,33.3
Eólica Totoral,2014-01-01 21:00:00,36.1
Eólica Totoral,2014-01-01 22:00:00,39.4
Eólica Totoral,2014-01-01 23:00:00,40.8
Monte Redondo,2014-01-01 00:00:00,40.0
Monte Redondo,2014-01-01 01:00:00,35.9
Monte Redondo,2014-01-01 02:00:00,35.6
Monte Redondo,2014-01-01 03:00:00,27.8
Monte Redondo,2014-01-01 04:00:00,24.5
Monte Redondo,2014-01-01 05:00:00,16.2
Monte Redondo,2014-01-01 06:00:00,8.4
Monte Redondo,2014-01-01 07:00:00,9.5
Monte Redondo,2014-01-01 08:00:00,4.4
Monte Redondo,2014-01-01 09:00:00,4.1
Monte Redondo,2014-01-01 10:00:00,17.0
Monte Redondo,2014-01-01 11:00:00,13.8
Monte Redondo,2014-01-01 12:00:00,14.7
Monte Redondo,2014-01-01 13:00:00,21.0
Monte Redondo,2014-01-01 14:00:00,29.4
Monte Redondo,2014-01-01 15:00:00,34.6
Monte Redondo,2014-01-01 16:00:00,39.9
Monte Redondo,2014-01-01 17:00:00,43.2
Monte Redondo,2014-01-01 18:00:00,42.5
Monte Redondo,2014-01-01 19:00:00,42.8
Monte Redondo,2014-01-01 20:00:00,41.9
Monte Redondo,2014-01-01 21:00:00,41.6
Monte Redondo,2014-01-01 22:00:00,39.5
Monte Redondo,2014-01-01 23:00:00,39.6
Ucuquer,2014-01-01 00:00:00,3.2
Ucuquer,2014-01-01 01:00:00,2.3
Ucuquer,2014-01-01 02:00:00,2.7
Ucuquer,2014-01-01 03:00:00,4.7
Ucuquer,2014-01-01 04:00:00,5.1
